Gene Name,Protein IDs,Tumor_vs_Normal_log2 fold change,Tumor_vs_Normal_p.val,Tumor_vs_Normal_p.adj,significant,Tumor_vs_Normal_significant,imputed,num_NAs
H2BC20P,Q6DN03,0.294,0.0277,0.0568,FALSE,FALSE,FALSE,0
H2BC5,P58876,-0.0346,0.91,0.935,FALSE,FALSE,TRUE,16
H2BS1,P57053,0.373,5.61E-05,0.000291,FALSE,FALSE,FALSE,0
H2BU1,Q8N257,0.744,0.0743,0.129,FALSE,FALSE,TRUE,8
H3-2,Q5TEC6,0.282,0.17,0.253,FALSE,FALSE,FALSE,0
H3-3A,P84243,0.313,0.119,0.189,FALSE,FALSE,FALSE,0
H4C1,P62805,0.487,0.0169,0.0377,FALSE,FALSE,FALSE,0
HAAO,P46952,-0.475,0.0155,0.0351,FALSE,FALSE,FALSE,0
HABP2,Q14520,-0.0819,0.727,0.79,FALSE,FALSE,FALSE,0
HACD2,Q6Y1H2,-0.0182,0.902,0.929,FALSE,FALSE,FALSE,0
HACD3,Q9P035,-0.524,5.12E-05,0.000269,FALSE,FALSE,FALSE,0
HACE1,Q8IYU2,-0.0416,0.71,0.776,FALSE,FALSE,FALSE,0
HADHA,P40939,-0.615,7.11E-06,5.15E-05,FALSE,FALSE,FALSE,0
HADHB,P55084,-0.548,1.92E-05,0.000118,FALSE,FALSE,FALSE,0
HAGH,Q16775,-0.671,0.00026,0.00107,FALSE,FALSE,FALSE,0
HAGHL,Q6PII5,0.177,0.401,0.5,FALSE,FALSE,FALSE,0
HAMP,P81172,-0.392,0.0621,0.111,FALSE,FALSE,TRUE,16
HARS,P12081,0.397,1.45E-06,1.39E-05,FALSE,FALSE,FALSE,0
HARS2,P49590,-0.361,0.00391,0.011,FALSE,FALSE,FALSE,0
HAT1,O14929,0.303,0.00133,0.00436,FALSE,FALSE,FALSE,0
HAUS1,Q96CS2,0.381,0.00125,0.00412,FALSE,FALSE,FALSE,0
HAUS2,Q9NVX0,0.535,2.53E-06,2.17E-05,FALSE,FALSE,FALSE,0
HAUS3,Q68CZ6,0.748,0.0792,0.135,FALSE,FALSE,TRUE,8
HAUS4,Q9H6D7,0.482,2.57E-06,2.19E-05,FALSE,FALSE,FALSE,0
HAUS5,O94927,0.109,0.469,0.565,FALSE,FALSE,TRUE,16
HAUS6,Q7Z4H7,0.116,0.532,0.624,FALSE,FALSE,TRUE,8
HAUS7,Q99871,0.59,0.000188,0.000818,FALSE,FALSE,TRUE,8
HAUS8,Q9BT25,0.587,0.00387,0.0109,FALSE,FALSE,TRUE,16
HAVCR1,Q96D42,1.07,0.0721,0.126,FALSE,FALSE,TRUE,8
HAVCR2,Q8TDQ0,0.594,0.0949,0.157,FALSE,FALSE,FALSE,0
HAX1,O00165,-0.427,0.00179,0.0056,FALSE,FALSE,FALSE,0
HBA1,P69905,1.07,0.0255,0.0532,FALSE,FALSE,FALSE,0
